given_name,surname,gender,birthdate,country_of_birth,current_country,phone_number,postcode,national_insurance_number,bank_account_number,cc_status,weight,height,blood_group,avg_n_drinks_per_week,avg_n_cigret_per_week,education_level,n_countries_visited
Pauline,Anderson,F,1978-08-28,Syrian Arab Republic,United Kingdom,+44(0)7700 900937,W4 6SB,ZZ061735T,012787683,0,91.3,1.46,A+,6.9,11.0,bachelor,43
Jack,Clarke,M,1970-12-01,Liechtenstein,United Kingdom,07700 900018,B8 1QB,ZZ 78 19 34 T,050372351,0,53.1,1.4,A+,9.8,433.6,secondary,48
Terry,Turner,M,1959-07-17,Bahamas,United Kingdom,+44(0)7700 900758,BH08 2XD,ZZ 78 88 30 T,047020276,0,44.9,1.94,AB+,3.3,351.7,secondary,7
Terence,Norman,M,1962-05-26,Papua New Guinea,United Kingdom,+44(0)7700900586,OX7W 3DL,ZZ 676244 T,104033371,0,43.0,1.89,B+,2.3,296.4,masters,18
Sarah,Archer,F,1982-11-19,Gibraltar,United Kingdom,07700 900705,SE70 9LH,ZZ 98 44 81 T,026681597,0,97.7,1.86,A+,0.2,328.8,secondary,8
Holly,Barton,F,1985-02-16,Kiribati,United Kingdom,+447700 900666,WV1 8WX,ZZ 960526 T,128405008,1,52.5,1.58,A+,4.6,432.9,bachelor,43
Thomas,Smith,M,1969-08-21,Belarus,United Kingdom,(07700) 900 039,G5J 6EU,ZZ 269052 T,107500432,0,94.7,1.57,O+,4.0,145.1,other,19
Marcus,Allen,M,1967-11-28,Rwanda,United Kingdom,+447700 900 979,DH35 9QX,ZZ846447T,101004688,0,64.1,1.85,O-,8.2,465.5,secondary,37
Victor,Graham,M,1968-12-07,Palau,United Kingdom,+44(0)7700900069,B5H 5XP,ZZ 990037 T,077449102,0,58.8,1.82,A+,8.6,395.4,secondary,18
Pamela,Green,F,1963-01-31,Dominica,United Kingdom,+447700900953,W61 0DF,ZZ 16 76 25 T,080834597,0,56.6,1.61,O+,0.4,36.9,bachelor,21
Jill,Morgan,F,1967-06-10,Hungary,United Kingdom,+447700900944,S8 1LQ,ZZ 96 51 07 T,120314197,0,94.1,1.86,A+,7.8,484.8,other,37
Malcolm,Williams,M,1973-01-30,Suriname,United Kingdom,07700 900963,N3C 1XR,ZZ 182817 T,042529044,0,53.5,1.98,O+,6.1,347.5,secondary,20
Marion,Sanderson,F,1959-01-08,Congo,United Kingdom,+447700900172,DY7Y 0RE,ZZ396311T,026340155,0,37.7,1.64,O+,6.5,481.1,secondary,46
Arthur,Lloyd,M,1957-11-19,Iceland,United Kingdom,07700 900 212,BS7N 9GL,ZZ 65 45 98 T,023366297,0,62.9,1.47,A+,7.4,11.5,secondary,3
Lisa,Cox,F,1971-01-20,French Guiana,United Kingdom,+44(0)7700900646,B6 4AR,ZZ 01 90 40 T,016898277,0,46.0,1.86,AB+,9.3,460.8,primary,30
Anthony,Fitzgerald,M,1962-01-28,Montenegro,United Kingdom,07700 900 633,B11 3TQ,ZZ 559066 T,079765208,0,55.7,1.49,B+,5.0,494.9,primary,16
Gillian,Roberts,F,1983-04-08,Indonesia,United Kingdom,07700900748,B6U 3AS,ZZ213565T,062393616,0,88.7,1.8,O+,4.9,102.4,masters,29
Alex,Moran,M,1996-02-14,Moldova,United Kingdom,+44(0)7700 900934,G9 5PW,ZZ967251T,045530580,0,97.3,1.61,A+,0.8,332.2,other,9
Leigh,Hudson,M,1962-04-20,Holy See (Vatican City State),United Kingdom,(07700) 900901,CR7 4DX,ZZ 92 91 18 T,049028519,0,37.2,1.8,O+,3.4,437.9,secondary,13
Lisa,Greenwood,F,1995-02-18,Sweden,United Kingdom,07700900524,W4D 4HQ,ZZ 67 54 09 T,034344237,0,74.5,1.42,A+,0.6,452.5,secondary,43
Ben,Hayes,M,1961-10-09,Tonga,United Kingdom,07700 900759,L4 0LA,ZZ 14 45 66 T,039819673,0,58.7,1.56,A+,2.8,235.7,masters,24
Eleanor,Atkins,F,1988-04-12,Bosnia and Herzegovina,United Kingdom,+447700 900616,M7 2RZ,ZZ 96 32 28 T,023354474,0,36.6,1.65,O+,2.3,349.3,secondary,3
Grace,Walker,F,1996-07-18,Armenia,United Kingdom,(07700)900446,NW7W 4SA,ZZ 13 48 30 T,071983143,0,40.4,1.69,A+,8.8,142.5,other,28
Brett,Gibson,M,1981-11-06,Papua New Guinea,United Kingdom,+44(0)7700900617,B4 5UJ,ZZ 45 32 27 T,047225408,0,80.3,1.65,O+,7.8,425.8,masters,10
Ann,Smith,F,1998-12-08,Belarus,United Kingdom,+44(0)7700 900788,S37 5ES,ZZ991753T,022106157,0,48.0,1.77,A+,6.0,154.0,secondary,17
Bryan,Stanley,M,2002-06-16,Cayman Islands,United Kingdom,(07700)900481,G5G 2BP,ZZ334708T,058190328,0,97.6,1.77,A+,9.6,194.6,bachelor,32
Lindsey,Bradshaw,F,1983-08-23,Anguilla,United Kingdom,07700900767,W5T 7DL,ZZ 63 11 51 T,076635700,0,44.6,1.45,O+,9.0,246.5,bachelor,5
Charles,Knight,M,1976-09-12,French Polynesia,United Kingdom,+44(0)7700 900 020,M56 6JH,ZZ752042T,053896164,0,74.1,1.52,A+,3.0,338.6,bachelor,18
Fiona,Williams,F,2001-03-20,Isle of Man,United Kingdom,07700 900034,L9 2RG,ZZ 69 80 20 T,019244491,0,51.9,1.74,B+,4.5,77.9,secondary,14
Dennis,Ryan,M,1961-07-27,Angola,United Kingdom,(07700) 900388,BA5Y 8PJ,ZZ 817778 T,109799733,0,95.9,1.86,A-,5.9,373.2,secondary,19
Gregory,Gough,M,1992-12-04,Mayotte,United Kingdom,07700 900 900,PL67 0PA,ZZ937919T,024962438,0,89.5,1.59,O+,6.1,392.0,secondary,38
Denis,Scott,M,1968-03-25,Jersey,United Kingdom,+447700900350,CT6R 1RN,ZZ 43 26 92 T,063805666,0,70.8,1.67,A+,8.9,191.4,primary,20
Stephen,Smith,M,1981-03-18,Panama,United Kingdom,07700900781,NP1R 7AG,ZZ 273726 T,058072378,0,86.9,1.52,O+,2.5,171.0,secondary,5
Deborah,Clarke,F,1994-12-12,Australia,United Kingdom,07700 900367,SA4 1TS,ZZ 632510 T,053512383,0,67.0,1.91,O+,6.6,489.1,masters,15
Yvonne,Collier,F,1975-02-01,Albania,United Kingdom,07700 900969,S8 9DE,ZZ 16 99 90 T,075960780,0,61.0,1.45,A+,8.0,124.2,other,35
Derek,Patel,M,1959-09-01,Yemen,United Kingdom,(07700) 900044,G43 3JT,ZZ108221T,036883770,0,74.7,1.98,A+,2.7,354.8,secondary,44
Nigel,Barnes,M,1976-07-10,Burkina Faso,United Kingdom,+44(0)7700 900 064,NG8 8ZU,ZZ485619T,027125515,0,38.1,1.76,O+,2.7,458.8,masters,5
Chelsea,Harrison,F,1983-01-17,Cocos (Keeling) Islands,United Kingdom,(07700) 900849,M8 7HS,ZZ 034941 T,129729411,0,48.2,1.6,B+,0.5,74.9,secondary,20
Georgia,Tomlinson,F,1967-11-22,Japan,United Kingdom,(07700)900501,N56 5DY,ZZ 595271 T,129872766,0,45.6,1.85,O+,8.9,484.4,secondary,6
Jodie,Bevan,F,2001-09-02,Palau,United Kingdom,+447700 900365,W6 9NP,ZZ 13 29 60 T,117545717,0,47.6,1.93,O-,3.2,421.1,phD,31
Susan,Welch,F,1957-12-09,Holy See (Vatican City State),United Kingdom,+44(0)7700 900469,S39 9EL,ZZ 064562 T,066991865,0,54.6,1.77,A+,1.8,206.5,bachelor,32
Zoe,Smith,F,1962-04-19,Nicaragua,United Kingdom,07700900733,W2 9GQ,ZZ 043218 T,125791993,0,44.2,1.5,A+,1.9,299.0,masters,45
Ben,Day,M,1977-11-16,Brazil,United Kingdom,07700 900676,N4K 3LH,ZZ 808708 T,010125771,0,87.6,1.59,O+,1.7,238.3,secondary,24
Martyn,Green,M,1983-05-18,Cayman Islands,United Kingdom,+447700900725,CW17 7RZ,ZZ 07 91 19 T,037290100,0,50.8,1.48,A+,2.4,367.1,bachelor,30
Robin,Patel,M,1964-03-16,Holy See (Vatican City State),United Kingdom,+447700 900 791,L1 7AU,ZZ829026T,021883390,0,40.2,1.41,A+,2.4,297.3,other,37
Laura,Clark,F,1961-07-05,United States of America,United Kingdom,07700 900 953,CH5 5JY,ZZ 88 71 92 T,119572827,1,76.2,1.75,O+,8.7,194.0,masters,33
Norman,Hart,M,1979-07-15,Burkina Faso,United Kingdom,07700 900 245,EH4 4PZ,ZZ 74 24 30 T,084701532,0,48.6,1.82,O+,2.7,217.2,bachelor,8
Leon,Miah,M,1972-03-19,Iceland,United Kingdom,(07700) 900 612,WD1 2XF,ZZ 766638 T,021654765,0,70.3,1.71,A-,7.6,33.6,primary,22
Chelsea,Ward,F,1987-12-14,Indonesia,United Kingdom,(07700) 900 014,NG0 4PU,ZZ 99 20 91 T,073043418,0,46.2,1.96,A+,3.7,364.5,secondary,13
Alex,Burton,M,1960-03-24,Slovakia (Slovak Republic),United Kingdom,+44(0)7700900034,B1W 2JH,ZZ 41 13 71 T,017256656,0,94.2,1.42,A+,9.6,296.4,bachelor,41
Dale,Kirk,M,1999-09-15,Netherlands,United Kingdom,07700 900 363,BS4V 9NT,ZZ 636316 T,011554228,0,97.9,1.9,O+,1.6,238.3,other,47
Dylan,Day,M,1998-09-05,Qatar,United Kingdom,+44(0)7700 900140,G69 5EU,ZZ 167901 T,037643647,0,35.4,1.99,A-,9.7,183.9,secondary,17
Chloe,Cunningham,F,1986-11-15,Solomon Islands,United Kingdom,+44(0)7700 900042,TS2P 3ER,ZZ 32 75 99 T,020606442,0,91.2,1.75,AB+,9.9,92.6,other,4
Ben,Clements,M,1990-09-09,Sudan,United Kingdom,+447700900813,ST1 0JW,ZZ 619181 T,104060988,0,97.6,1.49,B+,4.9,430.1,bachelor,39
Joe,Ali,M,1962-07-18,Guatemala,United Kingdom,(07700) 900 720,L8 8LY,ZZ326714T,056188659,0,82.8,1.84,A+,1.0,181.8,secondary,20
Stewart,Green,M,1965-10-14,Uruguay,United Kingdom,+44(0)7700 900437,L3H 9HH,ZZ648834T,107992736,0,71.9,1.82,O+,4.4,1.0,secondary,41
Lauren,Berry,F,1961-01-05,Nigeria,United Kingdom,+447700 900627,B7 3ZX,ZZ 360373 T,098865875,0,54.1,1.95,A+,6.5,140.2,secondary,26
Patricia,Howells,F,1989-10-08,Turkmenistan,United Kingdom,(07700) 900 138,CO41 5BL,ZZ 91 85 68 T,089994111,0,48.6,1.81,O+,3.2,279.6,bachelor,10
Jenna,Evans,F,1970-05-30,South Africa,United Kingdom,07700 900 186,L9F 7PL,ZZ716843T,042257578,0,98.7,1.51,B+,1.7,5.1,secondary,21
Malcolm,Burns,M,1959-02-27,Kenya,United Kingdom,(07700)900593,BA2 1QS,ZZ 31 69 54 T,105260923,0,76.3,1.66,AB+,6.1,161.3,bachelor,26
Sophie,Thomas,F,1957-05-08,Western Sahara,United Kingdom,(07700) 900 837,HR5P 5YJ,ZZ 44 20 35 T,057221890,0,58.9,1.74,A+,6.3,496.2,masters,20
Howard,Mitchell,M,1966-05-21,Hungary,United Kingdom,+447700 900 607,UB9M 1GH,ZZ 569284 T,069686452,1,60.3,1.58,A+,4.9,478.4,other,16
Toby,Armstrong,M,1983-09-06,Antigua and Barbuda,United Kingdom,(07700) 900976,EC2B 6FL,ZZ 873443 T,048530943,0,35.5,1.5,O-,0.3,50.5,secondary,37
Dean,Anderson,M,1992-06-28,French Polynesia,United Kingdom,+447700900665,B2 1DH,ZZ697060T,125174358,0,54.9,1.92,A+,5.6,500.0,bachelor,18
Kate,Matthews,F,1956-10-29,Equatorial Guinea,United Kingdom,(07700)900175,M9W 9JZ,ZZ 35 40 37 T,076582727,1,59.3,1.82,A+,9.0,48.1,secondary,28
Ian,Todd,M,2003-02-15,Morocco,United Kingdom,(07700) 900355,BT6 8SJ,ZZ223213T,054081648,0,71.0,1.83,A+,5.5,406.1,masters,36
Cheryl,Flynn,F,1977-12-22,Slovakia (Slovak Republic),United Kingdom,07700 900161,G0S 9JG,ZZ649667T,022411774,0,40.6,1.68,O+,6.1,470.8,secondary,7
Jean,Nicholls,F,1998-12-03,Namibia,United Kingdom,(07700)900834,W06 2JA,ZZ785589T,129754305,0,85.8,1.55,O+,8.1,394.0,secondary,49
Vincent,Fuller,M,1978-06-14,Bermuda,United Kingdom,07700900752,S7T 2UF,ZZ 64 70 85 T,096084946,0,54.7,1.85,B+,4.2,10.2,secondary,43
Ruth,Peters,F,2002-05-24,Algeria,United Kingdom,+44(0)7700 900 242,ZE4R 9UN,ZZ 71 22 10 T,046036313,0,36.5,1.42,A+,4.7,454.9,secondary,16
Lynda,Stevens,F,1992-04-01,Malawi,United Kingdom,+44(0)7700 900 839,JE2Y 1ZS,ZZ 349017 T,119759608,0,83.0,1.91,A+,1.3,272.0,bachelor,48
Daniel,Barrett,M,1964-02-15,Marshall Islands,United Kingdom,07700 900 255,B34 1FQ,ZZ 00 91 44 T,079752512,0,68.5,1.81,O+,7.2,190.2,phD,11
Mohammad,Lewis,M,1970-02-04,Mexico,United Kingdom,+44(0)7700 900229,WV4E 4ZB,ZZ 32 64 48 T,040223601,0,56.8,1.8,A+,1.9,150.4,phD,24
Gregory,Watts,M,1962-03-05,Japan,United Kingdom,07700 900805,EC11 2FX,ZZ748095T,079535580,0,35.2,1.85,A+,6.0,12.6,masters,11
Russell,Jones,M,1986-12-07,Spain,United Kingdom,+44(0)7700 900596,DG26 3HN,ZZ 06 87 15 T,014933312,0,94.8,1.56,B+,4.1,147.1,other,40
Gail,Robertson,F,1999-02-17,Martinique,United Kingdom,07700 900 102,IV1 3TB,ZZ 84 99 24 T,040857019,0,88.6,1.68,B+,4.9,118.5,other,14
Robert,Fox,M,1978-03-28,Bhutan,United Kingdom,+447700900576,EN46 9AU,ZZ 64 48 49 T,036819058,0,88.1,1.86,B+,0.1,487.9,secondary,43
Marie,Harris,F,1963-01-14,Korea,United Kingdom,+447700900298,G55 7UH,ZZ 29 36 27 T,016239810,0,85.3,1.6,A+,3.8,101.5,bachelor,42
Andrea,Howard,F,1995-05-08,Anguilla,United Kingdom,07700900874,NR8 1YA,ZZ 39 50 28 T,107918558,0,37.4,1.75,B+,2.0,184.0,secondary,32
Tony,Ellis,M,2000-08-22,Guinea-Bissau,United Kingdom,(07700)900495,NW36 5QS,ZZ 32 78 74 T,095820347,1,38.0,1.79,O-,2.4,106.9,masters,25
Judith,Francis,F,1986-11-21,Burkina Faso,United Kingdom,+447700 900 813,G1 6HW,ZZ 151092 T,030222421,0,95.0,1.41,A+,6.8,208.2,masters,23
Gillian,Allen,F,1997-04-10,Sao Tome and Principe,United Kingdom,07700 900 925,KA8 9PW,ZZ267124T,035743073,0,42.8,1.83,O+,1.2,281.0,secondary,24
Gordon,Stewart,M,1998-10-03,Algeria,United Kingdom,(07700) 900381,L5D 4DP,ZZ 99 11 18 T,029363854,0,45.3,1.45,A+,8.5,12.3,secondary,40
Brett,Whitehouse,M,1997-10-12,Spain,United Kingdom,+447700900585,S9G 7BD,ZZ 107951 T,114112334,0,82.3,1.79,O+,1.7,397.3,secondary,8
Brenda,Thomas,F,1989-02-09,Serbia,United Kingdom,07700 900337,G33 2HD,ZZ 27 18 47 T,062224497,0,55.3,1.57,A+,3.4,348.2,secondary,18
Stephanie,Dunn,F,1971-05-25,Western Sahara,United Kingdom,07700900200,DA72 5QS,ZZ 14 32 87 T,027974067,0,74.8,1.46,O+,6.3,157.0,masters,40
Eleanor,Day,F,1971-01-07,Cook Islands,United Kingdom,+44(0)7700900132,TR71 9RN,ZZ 849987 T,077923709,0,80.3,1.94,A+,9.6,385.7,secondary,32
Anthony,Garner,M,1996-10-27,Ghana,United Kingdom,+44(0)7700900216,W2 2BW,ZZ 82 19 62 T,035456344,0,88.6,1.8,O+,1.4,188.7,phD,10
Nicholas,Read,M,1991-12-07,Sweden,United Kingdom,+44(0)7700 900 961,EH2H 4AZ,ZZ345972T,103801892,0,51.3,1.87,O+,0.2,8.6,bachelor,32
Max,Ellis,M,1959-10-18,Falkland Islands (Malvinas),United Kingdom,+44(0)7700900500,SN66 6ZQ,ZZ 64 55 15 T,031598361,0,50.6,1.6,A-,1.2,481.5,other,23
Daniel,Turner,M,1970-09-23,Spain,United Kingdom,07700900623,W3 6GA,ZZ809017T,122997020,1,88.2,1.83,B+,4.1,389.7,secondary,34
Danielle,Shaw,F,1990-06-20,Ethiopia,United Kingdom,+447700900359,ML11 6QW,ZZ 301767 T,094942200,0,41.1,1.63,A+,2.4,100.4,secondary,3
Sharon,Marsh,F,1966-10-05,French Polynesia,United Kingdom,07700 900 596,CW02 1ZP,ZZ 795822 T,017230533,0,38.4,1.81,A+,1.1,415.2,secondary,7
Frederick,Roberts,M,1994-12-11,Macao,United Kingdom,(07700) 900931,M32 4EU,ZZ995893T,018441460,0,77.6,1.4,A+,7.0,76.1,bachelor,12
Paul,Bishop,M,1982-06-26,Trinidad and Tobago,United Kingdom,07700 900233,N86 6SP,ZZ344520T,026733597,0,54.7,1.81,B+,1.0,180.3,masters,49
Elizabeth,Bray,F,1967-09-21,Guyana,United Kingdom,+44(0)7700 900936,EH3R 6BP,ZZ 805140 T,100477300,0,57.5,1.9,O+,7.8,388.9,secondary,18
Christian,Gilbert,M,1993-03-17,Sri Lanka,United Kingdom,+447700 900 116,CA3E 3AZ,ZZ192442T,011631361,0,93.4,1.65,A+,4.0,268.0,other,16
Ross,Brown,M,1981-10-16,Estonia,United Kingdom,(07700) 900 191,M1H 5HX,ZZ506068T,099900030,0,67.8,1.52,A+,4.9,389.7,masters,49
Gareth,Yates,M,1970-05-18,Wallis and Futuna,United Kingdom,07700 900 413,PR34 7RY,ZZ 500194 T,104682764,0,35.1,1.9,O+,7.7,235.3,other,3
Marc,McDonald,M,1998-02-05,Turkmenistan,United Kingdom,(07700) 900045,N57 7XS,ZZ 75 42 39 T,107260073,0,40.5,1.45,O+,2.2,313.3,other,42
Jason,Smith,M,1972-02-20,Korea,United Kingdom,+447700 900962,KA1V 8QL,ZZ 852653 T,121701505,0,96.8,2.0,A-,4.6,72.7,bachelor,22
Katherine,Ahmed,F,1963-01-10,Mozambique,United Kingdom,07700900168,CH66 6DS,ZZ962536T,096313507,0,37.8,1.6,O+,6.9,316.3,bachelor,31
Grace,Campbell,F,1984-05-28,Peru,United Kingdom,+447700 900 876,W54 9XJ,ZZ 216272 T,044622020,0,69.7,1.85,A-,4.8,200.7,secondary,17
Oliver,Griffiths,M,1975-12-10,Guatemala,United Kingdom,+447700 900281,OX36 6FZ,ZZ 961237 T,076042681,0,60.4,1.46,A+,2.5,113.7,secondary,9
Jodie,Perry,F,1963-09-15,Tonga,United Kingdom,+447700900847,S9E 4XR,ZZ048098T,053078199,0,43.0,1.76,A+,0.6,81.6,secondary,35
Naomi,Pearce,F,1958-11-11,Singapore,United Kingdom,+447700900923,S54 3ZW,ZZ139526T,061445183,0,86.6,1.6,O+,0.3,196.9,primary,41
Ben,Holland,M,1992-03-09,French Guiana,United Kingdom,+44(0)7700 900771,TF70 2SG,ZZ 03 66 80 T,069889864,0,53.0,1.48,O-,6.0,445.3,secondary,42
Rachel,Taylor,F,1960-01-05,Somalia,United Kingdom,+44(0)7700 900 369,DE6 0TU,ZZ 08 95 25 T,067526624,0,93.8,1.6,A+,10.0,476.2,secondary,42
Matthew,Hobbs,M,1983-07-23,Ghana,United Kingdom,07700 900 987,NR7E 2RE,ZZ930501T,098585087,1,90.2,1.94,O+,2.9,98.8,secondary,34
Kirsty,Sharpe,F,1996-05-25,Vietnam,United Kingdom,+447700 900 112,WN9 6ES,ZZ 81 42 86 T,036342185,0,69.8,1.66,A+,5.5,138.0,secondary,12
Beth,Rogers,F,1990-06-17,Poland,United Kingdom,07700 900 661,G51 3UP,ZZ 747470 T,011749460,0,74.7,1.47,O+,2.7,478.3,secondary,31
Clifford,Green,M,1980-09-11,Dominican Republic,United Kingdom,+44(0)7700 900364,HS95 7TG,ZZ345654T,057879569,0,87.3,1.55,O-,0.4,376.3,secondary,42
Alexander,Taylor,M,2003-10-02,Timor-Leste,United Kingdom,07700 900 043,G21 8PS,ZZ 555774 T,125060080,0,49.7,2.0,A+,1.6,402.9,primary,5
Ben,Lloyd,M,2000-07-26,Yemen,United Kingdom,+447700900266,S42 3FZ,ZZ 69 88 01 T,057643229,0,99.7,1.81,B-,8.1,331.2,secondary,13
Josephine,Knowles,F,1958-10-17,Holy See (Vatican City State),United Kingdom,(07700)900441,N1 0HF,ZZ 61 49 82 T,070832703,0,64.1,1.63,A+,7.0,270.0,bachelor,15
Steven,Ward,M,2002-07-28,Jordan,United Kingdom,(07700)900755,UB8A 3RG,ZZ 60 09 64 T,083066702,0,62.3,1.79,O-,6.6,262.6,secondary,7
Gordon,Kelly,M,1984-05-29,Saint Kitts and Nevis,United Kingdom,07700 900 732,WS1B 5DB,ZZ 82 42 73 T,043595145,0,72.8,1.84,O-,3.0,198.5,secondary,44
Aimee,Pearce,F,1989-09-10,Bouvet Island (Bouvetoya),United Kingdom,07700 900163,NE2 7SH,ZZ 797602 T,068941305,0,38.7,1.73,A+,1.2,390.8,secondary,26
Hayley,Clayton,F,1994-11-04,Gambia,United Kingdom,07700900354,E7 0DX,ZZ 32 90 52 T,011951821,0,67.0,1.43,A+,8.8,207.8,other,26
Elliott,Carey,M,1978-09-24,Pitcairn Islands,United Kingdom,(07700) 900 004,LN00 8QS,ZZ 213837 T,038117208,0,40.3,1.59,O+,7.6,270.4,masters,10
Eileen,Turner,F,1969-06-05,Togo,United Kingdom,(07700) 900437,N4C 6AW,ZZ300619T,107859756,0,49.2,1.54,O+,8.1,124.0,secondary,32
Sam,Martin,M,1958-09-17,Sierra Leone,United Kingdom,+44(0)7700 900035,SG3 5PG,ZZ 92 95 36 T,066555007,0,67.3,1.86,O+,8.6,305.8,bachelor,24
Michael,Turner,M,1995-05-28,Madagascar,United Kingdom,+447700 900 882,L43 9AU,ZZ464666T,061804410,0,39.1,1.66,O+,6.0,337.8,secondary,15
Stewart,Baker,M,1997-12-21,Korea,United Kingdom,(07700)900888,NW6 1UD,ZZ722545T,104933963,0,53.2,1.74,A+,1.2,173.8,secondary,18
Sharon,Henry,F,1963-05-13,Saint Helena,United Kingdom,07700 900 191,G7 0ZF,ZZ219449T,107319160,0,85.0,1.45,A+,6.7,301.5,secondary,23
Anthony,Phillips,M,1993-01-09,Cook Islands,United Kingdom,+447700 900 339,W9 9ZH,ZZ 196961 T,068160225,0,43.4,1.8,B+,2.7,373.7,secondary,9
Terry,Watts,M,1961-05-08,San Marino,United Kingdom,+44(0)7700900067,KT8N 3DZ,ZZ 697956 T,029945023,0,67.0,1.71,A+,1.1,166.9,secondary,36
Benjamin,Marsh,M,1973-12-18,Mongolia,United Kingdom,+447700900519,L1T 7UJ,ZZ 83 45 35 T,071328892,0,59.5,1.42,B+,0.9,161.0,other,43
Dennis,Jackson,M,1983-09-13,Korea,United Kingdom,07700 900 202,E8S 9PT,ZZ039654T,104878361,0,63.0,1.86,A+,0.4,58.6,bachelor,22
Marion,Young,F,1973-10-28,Saint Lucia,United Kingdom,+44(0)7700900695,E37 0JJ,ZZ836106T,077299624,0,66.8,1.82,O+,3.2,76.3,secondary,9
Irene,Birch,F,1961-06-30,Botswana,United Kingdom,07700 900 848,B40 0NG,ZZ 469404 T,047270686,0,46.4,1.83,A+,7.7,228.6,secondary,4
Joyce,Jones,F,1974-11-28,Greenland,United Kingdom,07700 900 748,B2B 7HF,ZZ896024T,080768401,0,96.9,1.7,B+,0.9,475.4,bachelor,27
Billy,Smith,M,1980-09-22,Turks and Caicos Islands,United Kingdom,+44(0)7700 900 888,SP2V 2ZT,ZZ 559885 T,125955292,0,63.1,1.62,O+,0.8,20.2,secondary,3
Lawrence,Collins,M,1955-11-30,Sao Tome and Principe,United Kingdom,+44(0)7700900607,L8G 4RJ,ZZ 570974 T,020786951,0,39.0,1.63,A+,1.9,202.3,secondary,19
Owen,Phillips,M,1983-02-19,British Indian Ocean Territory (Chagos Archipelago),United Kingdom,+44(0)7700 900865,W5 8XA,ZZ918708T,093357809,0,95.6,1.59,A+,5.7,68.7,secondary,5
Thomas,Parker,M,1973-10-04,Sri Lanka,United Kingdom,+447700 900 668,ST3M 3GT,ZZ736513T,120907313,0,71.5,1.78,AB+,2.0,103.6,other,44
Zoe,Leonard,F,1965-06-17,Liechtenstein,United Kingdom,(07700) 900850,L7 7ZT,ZZ 61 79 15 T,072225635,0,48.6,1.92,O+,2.5,254.2,other,35
Sophie,Morgan,F,1976-05-29,Panama,United Kingdom,+447700 900 303,B9 7ZH,ZZ042294T,110340498,0,52.5,1.99,B+,3.1,364.3,bachelor,18
Callum,Norman,M,1995-08-15,Serbia,United Kingdom,07700 900668,YO59 1YG,ZZ 490286 T,118362627,0,40.1,1.78,B-,2.3,27.6,primary,37
Dylan,Walters,M,1994-12-21,Kenya,United Kingdom,(07700)900889,GU2X 0ZZ,ZZ654759T,025633504,0,35.9,1.49,O+,2.4,477.0,secondary,14
Hazel,Allen,F,1979-04-30,Macedonia,United Kingdom,(07700) 900 935,S16 3RU,ZZ940296T,029693265,0,52.4,1.82,A+,8.9,420.8,secondary,40
Shannon,Stephenson,F,1996-08-13,Antarctica (the territory South of 60 deg S),United Kingdom,07700900785,N3 9NB,ZZ495815T,028808611,0,71.9,1.81,A+,6.5,237.4,secondary,45
Nicole,Harrison,F,1986-09-08,Mali,United Kingdom,+44(0)7700900350,S8T 8WZ,ZZ 630304 T,058675665,0,89.4,1.43,O+,7.0,332.4,secondary,22
Kevin,Baker,M,1986-10-27,French Guiana,United Kingdom,+447700 900309,JE8 6DP,ZZ780673T,012889895,0,71.4,1.75,A+,4.5,236.0,primary,9
Alice,Whittaker,F,1989-03-01,French Polynesia,United Kingdom,+447700900731,L53 8QN,ZZ 214844 T,071779658,1,77.3,1.47,O+,4.3,41.9,bachelor,13
Lawrence,Pearce,M,1960-10-07,Oman,United Kingdom,+447700 900 941,BH4 1JT,ZZ 63 57 45 T,037242093,0,76.8,1.66,A+,2.2,250.2,masters,2
Olivia,Owens,F,1992-02-23,United Arab Emirates,United Kingdom,07700900086,NW03 5RR,ZZ437549T,062900423,0,74.3,1.9,A+,5.0,387.0,secondary,9
Christine,Turner,F,1981-10-03,Montenegro,United Kingdom,07700900297,M3 2QH,ZZ 239036 T,014977556,0,82.9,1.91,O+,4.9,278.1,bachelor,21
Leigh,Jones,M,1993-04-18,Botswana,United Kingdom,(07700) 900914,E8 0YD,ZZ578574T,089506606,0,98.3,1.43,O+,9.4,64.6,bachelor,17
Joseph,Briggs,M,1988-07-03,Niger,United Kingdom,+44(0)7700 900 348,M3H 5ZU,ZZ288186T,081934962,0,94.1,1.61,O+,1.8,394.9,phD,17
Kelly,Iqbal,F,1985-08-17,Montserrat,United Kingdom,+44(0)7700 900379,L9E 4SR,ZZ403463T,121502759,0,36.0,1.91,O+,4.1,261.3,masters,37
Susan,Bishop,F,1993-08-17,Reunion,United Kingdom,07700 900046,TQ68 2EA,ZZ 965384 T,068597827,0,93.5,1.54,A+,6.8,351.1,bachelor,15
Peter,Murphy,M,1976-03-20,Czech Republic,United Kingdom,(07700)900375,OL7A 9UQ,ZZ947958T,091182940,0,52.7,1.7,A+,5.1,114.7,secondary,37
Gerard,Elliott,M,1988-01-08,Faroe Islands,United Kingdom,07700 900123,HP2H 6HW,ZZ 47 08 52 T,038733608,0,90.8,1.64,A+,7.1,140.0,bachelor,32
Katie,Walsh,F,1973-01-05,Bouvet Island (Bouvetoya),United Kingdom,07700 900 846,B0 3HB,ZZ 487608 T,111959325,0,53.5,1.96,O+,4.5,367.4,secondary,22
